integrated_snn_res.5	cell_type_1	cell_type_2
15	early_tsp-2+	early_tsp-2+
33	early_vitellocytes	early_vitellocytes
21	egc+	egc+
17	eled+neoblasts	eled+neoblasts
14	flame_cells	flame_cells
41	flame_cells	flame_cells
19	GSC_progeny	GSC_progeny
57	GSC_progeny	GSC_progeny
18	GSCs	GSCs
78	gut	gut
28	hes2+	hes2+
38	late_female_germ_cells	late_female_germ_cells
46	late_male_germ_cells	late_male_germ_cells
44	late_vitellocytes	late_vitellocytes
69	mature_vitellocytes	mature_vitellocytes
31	meg-1+	meg-1+
39	meg-1+	meg-1+
61	Mehlis_gland	Mehlis_gland
27	muscle_1	muscle
45	muscle_2	muscle
43	muscle_3	muscle
47	muscle_4	muscle
67	muscle_5	muscle
71	muscle_6	muscle
79	muscle_7	muscle
83	muscle_8	muscle
0	neoblast_1	neoblast
1	neoblast_1	neoblast
2	neoblast_1	neoblast
6	neoblast_1	neoblast
7	neoblast_1	neoblast
37	neoblast_1	neoblast
35	neoblast_2	neoblast
4	neoblast_progeny	neoblast_progeny
8	neoblast_progeny	neoblast_progeny
10	neuron_1	neuron
60	neuron_1	neuron
68	neuron_1	neuron
34	neuron_10	neuron
40	neuron_11	neuron
48	neuron_12	neuron
52	neuron_13	neuron
54	neuron_14	neuron
55	neuron_15	neuron
58	neuron_16	neuron
59	neuron_17	neuron
62	neuron_18	neuron
64	neuron_19	neuron
16	neuron_2	neuron
65	neuron_20	neuron
66	neuron_21	neuron
70	neuron_22	neuron
72	neuron_23	neuron
73	neuron_24	neuron
76	neuron_25	neuron
77	neuron_26	neuron
80	neuron_27	neuron
81	neuron_28	neuron
84	neuron_29	neuron
20	neuron_3	neuron
13	neuron_30	neuron
75	neuron_31	neuron
22	neuron_4	neuron
23	neuron_5	neuron
24	neuron_6	neuron
26	neuron_6	neuron
25	neuron_7	neuron
29	neuron_8	neuron
30	neuron_9	neuron
82	oesophageal_gland	oesophageal_gland
11	parenchyma_1	parenchyma
12	parenchyma_2	parenchyma
51	parenchyma_3	parenchyma
74	parenchyma_2	parenchyma
49	prom2+	prom2+
3	S1	S1
9	S1	S1
32	S1	S1
42	S1	S1
5	S1_progeny	S1_progeny
53	sm13	sm13
36	tegument_1	tegument
63	tegument_1	tegument
85	tegument_2	tegument
56	unknown	unknown
50	zfp-1-1+	zfp-1-1+
